,code,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
56,FJI,Fiji,1970,1990.0,0.10318499999999997,0.19016429999999995,0.2383058566536333,0.7049377386182532,0.006937607520058453,0.022008609707786397,0.281987423684151,0.668564555126037,52,20.0,0.005159249999999999,0.011915292832681664,0.00034688037600292263,0.014099371184207548,0.003657005769230768,0.013556494973427945,0.00042324249438050767,0.012857010675500711
57,FIN,Finland,1919,1999.0,0.57220447,0.57220447,0.6697153824178694,0.6697153824178694,0.07969810884841044,0.07969810884841044,0.5678395400919026,0.5678395400919026,103,80.0,0.007152555874999999,0.008371442280223369,0.0009962263606051306,0.007097994251148783,0.005555383203883495,0.006502091091435625,0.000773768047071946,0.005513005243610705
58,FRA,France,1791,1793.0,0.69665942,0.949877832,0.3580941719913568,0.7909664185842936,0.21072274013545755,0.15066777446351287,0.311793675492776,0.7793876021200083,231,2.0,0.34832971,0.1790470859956784,0.10536137006772878,0.155896837746388,0.004112025246753246,0.003424097050148457,0.0006522414478939951,0.0033739723035498197
59,GAB,Gabon,1961,1975.0,0.4234091,0.4891552,0.3073041140195917,0.4804033684633875,0.010045618370294829,0.04982322841619924,0.1922943757311001,0.3009326255068043,61,14.0,0.030243507142857142,0.021950293858542264,0.0007175441693067734,0.013735312552221435,0.008018937704918032,0.007875465056776844,0.000816774236331135,0.004933321729619742
60,GMB,Gambia,1970,1996.0,0.12057410000000002,0.12057410000000002,0.5963252086910432,0.5963252086910432,0.048659747516943574,0.048659747516943574,0.5350633565305641,0.5350633565305641,52,26.0,0.004637465384615385,0.02293558494965551,0.001871528750651676,0.02057935986656016,0.0023187326923076925,0.011467792474827754,0.000935764375325838,0.01028967993328008
61,GEO,Georgia,1995,,,,,,,,,,27,27.0,,,,,,,,
62,DEU,Germany,1871,1919.0,0.34849280000000005,0.34849280000000005,0.5518588083382516,0.5518588083382516,0.03364362066196702,0.03364362066196702,0.1039359939700892,0.1039359939700892,151,48.0,0.007260266666666668,0.011497058507046909,0.0007009087637909797,0.0021653332077101917,0.002307899337748345,0.003654694094955309,0.00022280543484746372,0.0006883178408615178
63,GHA,Ghana,1954,1957.0,0.59887478,0.949945394,0.0249173549212307,0.7515013291175241,0.029049411784315637,0.18310929656514563,0.2609760041996718,0.8000339689100595,68,3.0,0.19962492666666667,0.008305784973743567,0.009683137261438546,0.0869920013998906,0.013969785205882353,0.011051490134081236,0.0026927837730168474,0.011765205425147933
64,GCOL,Great Colombia,1821,,,,,,,,,,201,201.0,,,,,,,,
65,GRC,Greece,1952,1968.0,0.36190009999999995,0.4768616,0.3257882380479333,0.4522115445021984,0.039663475700492,0.09285140850576656,0.1866450784691156,0.393202163954527,70,16.0,0.022618756249999997,0.02036176487799583,0.00247896723128075,0.011665317404319725,0.0068123085714285716,0.006460164921459978,0.0013264486929395224,0.005617173770778958
