,country,year,distance_tfidf_prime,distance_lda50_prime,distance_use_prime,distance_stm50_prime,distance_tfidf_sequence,distance_lda50_sequence,distance_use_sequence,distance_stm50_sequence
78,Cambodia,1993,0.69898394,0.5585419957654306,0.12160394612954684,0.5301366032001824,0.755066603422165,0.5754766375342685,0.1087644395898556,0.5301366032001824
79,Cameroon,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Cameroon,1961,0.90131079,0.8016318293104643,0.300576584180148,0.7636754461772388,0.9013107866048813,0.8016318293104643,0.300576584180148,0.7636754461772388
81,Cameroon,1972,0.978084853,0.7931868154666932,0.2929393088384198,0.7706839634937912,0.5547271966934204,0.4217296985902456,0.0759686945607968,0.7706839634937912
82,Canada,1791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Canada,1867,0.6815868,0.4692514915869393,0.08352512198706197,0.1278919017291304,0.6815868020057678,0.4692514915869393,0.08352512198706197,0.1278919017291304
84,Canada,2011,0.7058462,0.5359176454119414,0.1285695809563987,0.2274341764429412,0.11740618944168091,0.3065630942328212,0.0822756352937718,0.2274341764429412
85,Cape Verde,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Central African Republic,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Central African Republic,1994,0.5365651499999999,0.3305752188157286,0.04049405854217236,0.2802862218781656,0.5365651547908783,0.3305752188157286,0.04049405854217236,0.2802862218781656
88,Central African Republic,2004,0.44218135000000003,0.2221450458480336,0.05952772083462843,0.2967854818353398,0.37833642959594727,0.2312491909863522,0.01168329872758056,0.2967854818353398
89,Central African Republic,2013,0.90033621,0.5279137815393113,0.08802398684896484,0.6445700478782825,0.8680271059274673,0.3477771634490674,0.042554386797052035,0.6445700478782825
90,Chad,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Chad,1962,0.47899970000000003,0.3939476228720946,0.02928414476563701,0.2664992263094807,0.47899967432022095,0.3939476228720946,0.02928414476563701,0.2664992263094807
92,Chad,1996,0.65725252,0.454851216733575,0.11134987805474783,0.4762238859724454,0.6743612587451935,0.6971829148932153,0.06586432876727122,0.4762238859724454
93,Chile,1823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Chile,1828,0.79397774,0.2959910081145223,0.07768014817193158,0.3199340318932087,0.7939777374267578,0.2959910081145223,0.07768014817193158,0.3199340318932087
95,Chile,1833,0.7416948400000001,0.3320397880802792,0.04229899028894002,0.3525222468872455,0.3770323395729065,0.1494428943416656,0.02176484667315237,0.3525222468872455
